Session no.,Resp. no.,Anti/Pro,Q1_1,Q1_2,Q1_3,Q1_4,Q1-5,Q1_6,Q1_7,Q1_8,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3,Q4
32,64,Pro,1,2,4,5,1,3,4,2,10,10,10,0,2,5,0,0,75,30
33,65,Anti,5,4,2,2,4,2,2,4,10,8,10,0,0,0,0,0,50,50
33,66,Pro,3,3,4,4,3,4,3,2,10,5,5,0,5,5,0,0,50,50
34,67,Anti,5,5,1,1,5,1,1,5,10,10,10,10,5,10,1,1,0,100
34,68,Pro,1,2,4,4,2,3,4,1,10,10,10,0,2,0,0,0,60,50
35,69,Pro,1,5,5,5,3,5,3,3,10,10,10,0,0,0,0,0,50,50
35,70,Anti,4,4,2,2,2,2,2,2,10,8,8,0,5,5,5,0,50,80
36,71,Pro,1,3,4,4,2,3,2,1,10,5,0,0,5,5,0,0,100,0
36,72,Anti,4,4,2,2,3,2,2,3,5,5,5,0,5,5,0,0,50,100
37,73,Pro,1,2,4,5,1,3,4,2,10,5,0,0,2,0,0,0,100,50
37,74,Anti,4,4,3,2,3,2,2,3,5,5,5,5,5,0,0,0,50,50
38,75,Pro,2,2,5,5,2,3,5,2,5,10,0,0,5,5,0,0,50,50
38,76,Anti,4,4,2,1,4,1,2,3,5,5,5,5,5,5,5,0,0,100
39,77,Pro,1,4,4,4,2,3,4,1,10,10,0,0,5,5,0,0,50,50
39,78,Anti,4,3,3,3,3,3,2,3,5,5,5,5,5,0,0,0,50,50
40,79,Pro,2,3,5,4,1,3,4,1,10,5,0,0,5,5,5,0,100,50
40,80,Anti,5,4,2,2,4,2,2,3,5,5,5,5,5,5,0,0,0,100
41,81,Pro,1,3,4,4,1,3,4,1,5,5,0,5,5,5,0,0,50,50
41,82,Anti,5,5,1,1,5,4,5,2,5,5,5,5,5,0,0,0,0,100
42,83,Pro,1,3,4,4,1,3,4,1,5,5,0,0,5,5,0,0,50,0
42,84,Anti,5,4,2,2,4,2,1,4,5,5,5,5,0,0,0,0,50,100
43,85,Pro,1,4,5,4,1,3,4,1,5,5,0,0,5,5,0,0,100,50
43,86,Anti,4,4,3,2,3,3,2,3,5,5,5,5,5,5,5,0,50,50
44,87,Anti,4,3,3,2,3,1,1,4,0,5,10,5,10,5,0,6,0,100
44,88,Pro,3,3,3,3,3,3,3,3,10,5,10,0,0,0,0,0,50,50
45,89,Anti,3,3,3,3,3,2,2,3,5,5,5,5,5,5,5,0,50,50
45,90,Pro,1,4,5,5,1,3,5,1,5,5,0,5,5,5,5,5,100,50
46,91,Anti,4,4,2,2,4,2,2,3,5,5,5,5,0,0,5,0,0,100
46,92,Pro,1,4,5,5,1,5,4,1,10,10,0,0,5,5,0,5,100,50
47,93,Anti,4,3,3,3,3,3,3,3,10,5,5,5,0,5,5,0,50,50
47,94,Pro,1,2,5,5,1,4,5,1,10,10,5,0,5,0,5,0,100,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
drop list scale,,,,,,,,,,,,,,,,,,,,
Anti/Pro,Q1,Q2,"Q3,Q4",,,,,,,,,,,,,,,,,
Anti,1,0,0,,,,,,,,,,,,,,,,,
Pro,2,1,1,,,,,,,,,,,,,,,,,
,3,2,2,,,,,,,,,,,,,,,,,
,4,3,3,,,,,,,,,,,,,,,,,
,5,4,4,,,,,,,,,,,,,,,,,
,,5,5,,,,,,,,,,,,,,,,,
,,6,6,,,,,,,,,,,,,,,,,
,,7,7,,,,,,,,,,,,,,,,,
,,8,8,,,,,,,,,,,,,,,,,
,,9,9,,,,,,,,,,,,,,,,,
,,10,10,,,,,,,,,,,,,,,,,
,,,11,,,,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,,,,
,,,20,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,,,,
,,,23,,,,,,,,,,,,,,,,,
,,,24,,,,,,,,,,,,,,,,,
,,,25,,,,,,,,,,,,,,,,,
,,,26,,,,,,,,,,,,,,,,,
,,,27,,,,,,,,,,,,,,,,,
,,,28,,,,,,,,,,,,,,,,,
,,,29,,,,,,,,,,,,,,,,,
,,,30,,,,,,,,,,,,,,,,,
,,,31,,,,,,,,,,,,,,,,,
,,,32,,,,,,,,,,,,,,,,,
,,,33,,,,,,,,,,,,,,,,,
,,,34,,,,,,,,,,,,,,,,,
,,,35,,,,,,,,,,,,,,,,,
,,,36,,,,,,,,,,,,,,,,,
,,,37,,,,,,,,,,,,,,,,,
,,,38,,,,,,,,,,,,,,,,,
,,,39,,,,,,,,,,,,,,,,,
,,,40,,,,,,,,,,,,,,,,,
,,,41,,,,,,,,,,,,,,,,,
,,,42,,,,,,,,,,,,,,,,,
,,,43,,,,,,,,,,,,,,,,,
,,,44,,,,,,,,,,,,,,,,,
,,,45,,,,,,,,,,,,,,,,,
,,,46,,,,,,,,,,,,,,,,,
,,,47,,,,,,,,,,,,,,,,,
,,,48,,,,,,,,,,,,,,,,,
,,,49,,,,,,,,,,,,,,,,,
,,,50,,,,,,,,,,,,,,,,,
,,,51,,,,,,,,,,,,,,,,,
,,,52,,,,,,,,,,,,,,,,,
,,,53,,,,,,,,,,,,,,,,,
,,,54,,,,,,,,,,,,,,,,,
,,,55,,,,,,,,,,,,,,,,,
,,,56,,,,,,,,,,,,,,,,,
,,,57,,,,,,,,,,,,,,,,,
,,,58,,,,,,,,,,,,,,,,,
,,,59,,,,,,,,,,,,,,,,,
,,,60,,,,,,,,,,,,,,,,,
,,,61,,,,,,,,,,,,,,,,,
,,,62,,,,,,,,,,,,,,,,,
,,,63,,,,,,,,,,,,,,,,,
,,,64,,,,,,,,,,,,,,,,,
,,,65,,,,,,,,,,,,,,,,,
,,,66,,,,,,,,,,,,,,,,,
,,,67,,,,,,,,,,,,,,,,,
,,,68,,,,,,,,,,,,,,,,,
,,,69,,,,,,,,,,,,,,,,,
,,,70,,,,,,,,,,,,,,,,,
,,,71,,,,,,,,,,,,,,,,,
,,,72,,,,,,,,,,,,,,,,,
,,,73,,,,,,,,,,,,,,,,,
,,,74,,,,,,,,,,,,,,,,,
,,,75,,,,,,,,,,,,,,,,,
,,,76,,,,,,,,,,,,,,,,,
,,,77,,,,,,,,,,,,,,,,,
,,,78,,,,,,,,,,,,,,,,,
,,,79,,,,,,,,,,,,,,,,,
,,,80,,,,,,,,,,,,,,,,,
,,,81,,,,,,,,,,,,,,,,,
,,,82,,,,,,,,,,,,,,,,,
,,,83,,,,,,,,,,,,,,,,,
,,,84,,,,,,,,,,,,,,,,,
,,,85,,,,,,,,,,,,,,,,,
,,,86,,,,,,,,,,,,,,,,,
,,,87,,,,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,,,,
,,,89,,,,,,,,,,,,,,,,,
,,,90,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,
,,,93,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,,
,,,96,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,
,,,98,,,,,,,,,,,,,,,,,
,,,99,,,,,,,,,,,,,,,,,
,,,100,,,,,,,,,,,,,,,,,
